year_week,year_month,city,booking_id,created_datetime,request_start_datetime,request_end_datetime,member_id,member_age,member_gender,car_id,car_age,car_type,car_brand,car_model,car_insured_value
2022-08,2022-02,KV,180984,2/22/2022 11:23:46,2/23/2022 12:00:00,2/25/2022 12:00:00,103,47,male,15846,9,suv,Hyundai,TUCSON,46000
2022-20,2022-05,KV,241844,5/18/2022 15:59:39,5/21/2022 9:00:00,5/24/2022 9:00:00,103,47,male,15846,9,suv,Hyundai,TUCSON,46000
2022-17,2022-04,KV,224527,4/26/2022 15:16:16,4/28/2022 12:00:00,05/01/2022,103,47,male,26965,8,suv,Nissan,X-TRAIL,59000
2022-23,2022-06,KV,259590,06/10/2022,06/11/2022,6/14/2022 16:00:00,103,47,male,26965,8,suv,Nissan,X-TRAIL,59000
2022-16,2022-04,KV,220429,4/22/2022 11:42:59,4/23/2022 15:00:00,4/26/2022 15:00:00,103,47,male,27969,6,sedan,Volkswagen,VENTO,34000
2022-21,2022-05,KV,248063,5/26/2022 16:11:51,5/27/2022 12:00:00,5/29/2022 12:00:00,103,47,male,19972,2,hatchback,Perodua,MYVI,48000
2022-26,2022-06,KV,271295,6/27/2022 17:20:31,07/01/2022,07/04/2022,103,47,male,27121,8,suv,Kia,SPORTAGE,60000
2022-17,2022-04,PGI,225465,4/27/2022 16:45:38,4/28/2022 12:00:00,4/29/2022 12:00:00,332,26,female,30784,9,sedan,Honda,CITY,28300
2022-26,2022-06,KV,271898,6/28/2022 13:30:01,6/30/2022 10:00:00,07/01/2022,756,35,male,36175,4,suv,Proton,X70,70000
2022-02,2022-01,KV,158410,01/10/2022,02/05/2022,02/08/2022,1441,26,female,19365,4,mpv,Proton,EXORA,40000
2022-22,2022-06,KV,252785,06/01/2022,06/02/2022,06/07/2022,1743,30,female,35133,6,suv,Mitsubishi,ASX,72000
2022-23,2022-06,KV,256180,06/06/2022,06/08/2022,06/09/2022,1743,30,female,35133,6,suv,Mitsubishi,ASX,72000
2022-01,2022-01,KV,157305,01/08/2022,1/20/2022 18:00:00,1/23/2022 18:00:00,1743,30,female,5953,8,sedan,Honda,CITY,34000
2022-13,2022-03,KV,203892,3/30/2022 14:14:30,3/31/2022 10:30:00,04/03/2022,1743,30,female,1167,10,hatchback,Perodua,MYVI,21000
2022-24,2022-06,KV,263155,6/16/2022 5:08:15,6/17/2022 10:30:00,6/22/2022 10:30:00,1743,30,female,15477,4,sedan,Honda,CITY,54000
2022-16,2022-04,KV,220171,4/22/2022 3:27:58,4/30/2022 10:30:00,05/09/2022,1743,30,female,15824,4,mpv,Perodua,ALZA,45000
2022-03,2022-01,KV,164700,1/22/2022 0:41:05,1/30/2022 9:30:00,02/06/2022,1743,30,female,27095,4,hatchback,Perodua,MYVI,42000
2022-08,2022-02,KV,180727,2/21/2022 19:27:22,2/22/2022 20:00:00,2/24/2022 20:00:00,1743,30,female,27095,4,hatchback,Perodua,MYVI,42000
2022-19,2022-05,KV,239456,5/15/2022 18:51:02,5/16/2022 20:00:00,5/20/2022 20:00:00,1743,30,female,27095,4,hatchback,Perodua,MYVI,42000
2022-05,2022-01,KV,170361,1/31/2022 21:51:46,02/03/2022,02/05/2022,2122,25,male,27988,8,sedan,Proton,SAGA,13000
2022-08,2022-02,KV,183417,2/26/2022 16:28:00,03/05/2022,03/06/2022,2601,30,male,1643,4,mpv,Toyota,ALPHARD,185300
2022-06,2022-02,KV,174161,02/08/2022,2/23/2022 20:00:00,2/26/2022 20:00:00,2683,40,male,26901,12,mpv,Toyota,VELLFIRE,89000
2022-01,2022-01,KV,155564,01/04/2022,01/05/2022,01/06/2022,3626,37,male,19280,7,mpv,Hyundai,STAREX,66000
2022-09,2022-03,KV,186162,03/03/2022,03/06/2022,3/13/2022 20:30:00,4132,26,male,19200,6,hatchback,Perodua,AXIA,23000
2022-15,2022-04,KV,215954,4/17/2022 8:33:52,4/19/2022 20:30:00,4/25/2022 20:30:00,4132,26,male,25155,11,sedan,Proton,INSPIRA,27800
2022-05,2022-02,KV,172161,02/04/2022,02/04/2022,02/06/2022,6482,23,male,26851,7,mpv,Toyota,VELLFIRE,202000
2022-05,2022-02,KV,172734,02/05/2022,02/06/2022,02/07/2022,6482,23,male,26851,7,mpv,Toyota,VELLFIRE,202000
2022-04,2022-01,KV,167187,1/26/2022 22:23:00,1/27/2022 12:00:00,1/31/2022 12:00:00,6482,23,male,27801,3,sedan,Toyota,VIOS,59000
2022-16,2022-04,KV,216754,4/18/2022 13:13:09,4/23/2022 8:00:00,4/23/2022 23:30:00,7118,33,male,22841,7,coupe,Mercedes-Benz,SLK250,127000
2022-01,2022-01,KV,156446,01/06/2022,01/07/2022,01/08/2022,8257,26,female,1792,9,hatchback,Perodua,AXIA,14000
2022-23,2022-06,KV,260118,06/11/2022,6/21/2022 15:30:00,6/22/2022 15:30:00,8911,38,male,35399,10,hatchback,Perodua,MYVI,20000
2022-17,2022-04,KV,225217,4/27/2022 11:17:03,4/28/2022 21:00:00,4/29/2022 21:00:00,8911,38,male,27413,9,sedan,Toyota,VIOS,37400
2022-16,2022-04,KV,217009,4/18/2022 19:27:41,4/19/2022 19:00:00,4/20/2022 19:00:00,8911,38,male,20054,12,sedan,Perodua,MYVI,14000
2022-11,2022-03,KV,193075,3/14/2022 12:53:53,3/14/2022 21:00:00,3/15/2022 21:00:00,8911,38,male,29547,6,sedan,Proton,SAGA,25600
2022-21,2022-05,KV,250595,5/29/2022 18:39:46,5/31/2022 14:30:00,06/01/2022,8911,38,male,34706,8,sedan,Perodua,MYVI,29000
