member_id,first_created_datetime,signup_datetime
6,11/01/2019 11:01,10/10/2019 15:41
56,01/10/2021 12:27,10/14/2019 7:58:22
67,12/24/2019 23:25:54,10/14/2019 8:54:10
77,12/19/2019 11:52:11,10/14/2019 9:55:10
97,03/04/2022 20:39,10/14/2019 11:06:46
103,10/30/2020 11:04:01,10/14/2019 11:33:29
110,07/04/2020 11:04,10/14/2019 12:54:46
127,01/05/2022 20:38,10/15/2019 1:06:17
244,12/15/2020 0:27:13,10/16/2019 3:50:19
246,11/11/2019 17:06,10/16/2019 4:14:26
256,11/17/2019 17:59:33,10/16/2019 6:58:02
290,12/27/2020 11:49:23,10/16/2019 13:53:45
323,05/05/2022 13:50,10/17/2019 16:39:05
332,4/27/2022 16:45:38,10/18/2019 16:39:56
335,01/10/2020 15:22,10/19/2019 2:49:25
339,5/24/2022 1:22:31,10/19/2019 6:16:56
430,03/11/2022 23:23,10/22/2019 16:29:38
467,06/11/2022 22:42,10/23/2019 4:45:48
492,5/31/2022 18:43:09,10/23/2019 10:25:44
630,10/13/2021 17:10:59,10/24/2019 10:24:28
668,4/20/2022 7:40:34,10/24/2019 14:49:03
682,8/26/2020 4:12:16,10/24/2019 17:22:14
697,03/10/2022 20:39,10/24/2019 18:34:26
756,6/28/2022 13:30:01,10/25/2019 6:15:46
834,10/18/2021 18:58:14,10/25/2019 10:54:49
840,07/03/2020 10:05,10/25/2019 11:01:23
849,5/13/2022 11:26:17,10/25/2019 11:19:33
862,3/24/2022 14:37:41,10/25/2019 11:47:07
868,12/03/2019 16:48,10/25/2019 12:04:22
892,02/10/2022 13:49,10/25/2019 14:29:32
1057,03/06/2022 15:45,10/26/2019 6:37:19
1158,02/01/2020 10:33,10/27/2019 2:40:23
1170,10/30/2021 19:58:31,10/27/2019 6:03:43
1221,1/28/2022 1:34:33,10/27/2019 20:23:18
1311,4/29/2022 20:50:05,10/28/2019 23:39:59
1441,11/14/2019 21:40:31,10/30/2019 7:39:19
1521,03/01/2021 20:10,10/30/2019 23:05:58
