booking_id,member_id,gross_revenue,net_revenue,rental_fee,SCDW_fee,delivery_fee,coupon_code
154100,632722,129,79,119,0,10,FRIENDSHIP50
154103,645616,535,327,520,0,15,BEGIN40
154111,642878,110,95.75,95,0,15,DRIVEON15
154114,101782,455,279,440,0,15,BEGIN40
154117,99400,168,145.8,148,0,20,DRIVEON15
154118,397092,520,416,520,0,0,DRIVEON20
154123,576327,119,101.15,119,0,0,DRIVEON15
154125,115873,1000,750,990,0,10,BEGIN40
154129,331213,192,153.6,192,0,0,DRIVEON20
154131,644256,90,90,85,0,5,Z - No Promo Used
154132,196388,98,85.55,83,0,15,DRIVEON15
154142,201377,165,165,150,0,15,Z - No Promo Used
154143,198074,550,330,550,0,0,BEGIN40
154148,608155,130,72.5,115,0,15,JOMTREVO50
154151,48960,450,274,440,0,10,BEGIN40
154153,566404,319,159.5,319,0,0,JOMTREVO50
154157,227409,100,86.5,90,0,10,DRIVEON15
154160,700042,385,385,375,0,10,Z - No Promo Used
154163,40221,455,279,440,0,15,BEGIN40
154166,96801,428,264.8,408,0,20,BEGIN40
154175,412661,1051,901,1041,0,10,DRIVEON30
154183,708732,140,140,130,0,10,Z - No Promo Used
154191,373441,145,125.5,130,0,15,DRIVEON15
154202,15592,600,360,600,0,0,BEGIN40
154204,708720,248,248,238,0,10,Z - No Promo Used
154206,194720,100,87.25,85,0,15,DRIVEON15
154216,661440,104,104,94,0,10,Z - No Promo Used
154218,254296,109,109,89,0,20,Z - No Promo Used
154227,246126,135,135,120,0,15,Z - No Promo Used
154243,355813,131.5,72,119,0,12.5,JOMTREVO50
154247,667200,420,258,405,0,15,BEGIN40
154249,274328,200,163,185,0,15,DRIVEON20
154251,488945,135,117.75,115,0,20,DRIVEON15
154252,706735,378,378,330,33,15,Z - No Promo Used
154254,9104,793,643,763,0,30,DRIVEON20
154255,689074,150,129,140,0,10,DRIVEON15
154262,711524,330,280,325,0,5,FRIENDSHIP50
154264,711334,92,92,77,0,15,Z - No Promo Used
154265,474523,600,360,600,0,0,BEGIN40
154266,709136,158,158,148,0,10,Z - No Promo Used
154267,692998,89,89,89,0,0,Z - No Promo Used
154269,693016,596,363.6,581,0,15,BEGIN40
154279,2695,650,400,650,0,0,BEGIN40
154284,326575,270,192,260,0,10,BEGIN30
154285,624318,385,269.5,385,0,0,BEGIN30
154301,696597,1330,1330,1320,0,10,Z - No Promo Used
154302,177814,435,265,425,0,10,BEGIN40
154303,602906,243,195.4,238,0,5,DRIVEON20
154307,598383,720,520,700,0,20,JOMTREVO50
154311,603757,89,75.65,89,0,0,DRIVEON15
154317,599110,375,190,370,0,5,JOMTREVO50
154319,493044,545,327,545,0,0,BEGIN40
154320,261465,467,267,447,0,20,JOMTREVO50
154321,711531,510,510,450,45,15,Z - No Promo Used
154323,658020,440,270,425,0,15,BEGIN40
154325,173942,323.5,165.5,316,0,7.5,JOMTREVO50
154329,553442,195,156,195,0,0,DRIVEON20
154330,425101,873,673,858,0,15,JOMTREVO50
154332,185701,472,379.6,462,0,10,DRIVEON20
154334,517202,145,145,125,0,20,Z - No Promo Used
154338,702130,136,136,121,0,15,Z - No Promo Used
154339,45934,460,460,445,0,15,Z - No Promo Used
154343,70081,596,357.6,596,0,0,BEGIN40
154344,15136,700,450,700,0,0,BEGIN40
154346,180292,340,241,330,0,10,BEGIN30
154347,315693,296,218,260,26,10,DRIVEON30
154350,642878,110,95.75,95,0,15,DRIVEON15
154353,73278,237.5,122.5,230,0,7.5,HOLIYAY50
154355,70540,138,138,138,0,0,Z - No Promo Used
154365,576965,135,72.5,125,0,10,JOMTREVO50
